,TOA5 Idea school Asphalt CR 1000,91193,CR1000.Std.32.03,CPU:Asphalt_20190312.CR1,42731,Hydro,,,,,
Rain_in_Tot,TIMESTAMP,AnoC_Level_Avg,AC_Level_Avg,AnoC_Stage_Avg,AC_Stage_Avg,AnoC_Flow_Avg,AC_Flow_Avg,AnoC_Sample_Pulses_Max,AC_Sample_Pulses_Max,AnoC_GoodSample_Max,AC_GoodSample_Max
In,TS,Ft,Ft,Ft,Ft,GPM,GPM,Pulses,Pulses,Samples,Samples
Tot,,Avg,Avg,Avg,Avg,Avg,Avg,Max,Max,Max,Max
0,9/1/2019 0:00,1.032193,1.175256,-0.04075529,0.1609309,0,17.52798,1,2,0,0
0,9/1/2019 0:05,1.032264,1.175258,-0.04068347,0.1609334,0,17.52862,1,2,0,0
0,9/1/2019 0:10,1.032404,1.175208,-0.0405437,0.1608835,0,17.51585,1,2,0,0
0,9/1/2019 0:15,1.032392,1.175312,-0.04055578,0.1609872,0,17.54237,1,2,0,0
0,9/1/2019 0:20,1.03228,1.175336,-0.040668,0.1610109,0,17.54842,1,2,0,0
0,9/1/2019 0:25,1.032258,1.175278,-0.04069015,0.1609527,0,17.53354,1,2,0,0
0,9/1/2019 0:30,1.032435,1.175294,-0.04051291,0.1609692,0,17.53773,1,2,0,0
0,9/1/2019 0:35,1.032194,1.17538,-0.04075354,0.1610548,0,17.55966,1,2,0,0
0,9/1/2019 0:40,1.032272,1.17524,-0.04067538,0.1609151,0,17.52395,1,2,0,0
0,9/1/2019 0:45,1.03229,1.17526,-0.04065834,0.160935,0,17.529,1,2,0,0
0,9/1/2019 0:50,1.032452,1.175205,-0.04049629,0.1608806,0,17.51509,1,2,0,0
0,9/1/2019 0:55,1.032194,1.175446,-0.04075339,0.1611209,0,17.57661,1,2,0,0
0,9/1/2019 1:00,1.032313,1.175456,-0.04063453,0.1611308,0,17.57919,1,2,0,0
0,9/1/2019 1:05,1.032438,1.1754,-0.04050989,0.1610756,0,17.56499,1,2,0,0
0,9/1/2019 1:10,1.032261,1.175304,-0.04068716,0.1609791,0,17.54034,1,2,0,0
0,9/1/2019 1:15,1.032448,1.175528,-0.04050003,0.1612033,0,17.59778,1,2,0,0
0,9/1/2019 1:20,1.03228,1.175199,-0.04066753,0.1608739,0,17.51337,1,2,0,0
0,9/1/2019 1:25,1.032171,1.175303,-0.04077679,0.1609778,0,17.53997,1,2,0,0
0,9/1/2019 1:30,1.032175,1.175272,-0.04077315,0.1609468,0,17.53203,1,2,0,0
0,9/1/2019 1:35,1.032326,1.175382,-0.04062154,0.161057,0,17.56023,1,2,0,0
0,9/1/2019 1:40,1.032221,1.175406,-0.04072678,0.1610813,0,17.56647,1,2,0,0
0,9/1/2019 1:45,1.032146,1.175357,-0.04080229,0.1610323,0,17.55392,1,2,0,0
0,9/1/2019 1:50,1.032278,1.175221,-0.04066954,0.1608965,0,17.51915,1,2,0,0
0,9/1/2019 1:55,1.032343,1.175398,-0.04060502,0.1610726,0,17.56423,1,2,0,0
0,9/1/2019 2:00,1.032371,1.175274,-0.04057642,0.160949,0,17.53261,1,2,0,0
0,9/1/2019 2:05,1.0324,1.175434,-0.04054831,0.1611088,0,17.57349,1,2,0,0
0,9/1/2019 2:10,1.032143,1.175326,-0.04080474,0.1610014,0,17.54606,1,2,0,0
0,9/1/2019 2:15,1.032245,1.175234,-0.04070262,0.1609089,0,17.52235,1,2,0,0
0,9/1/2019 2:20,1.032419,1.175284,-0.04052836,0.1609591,0,17.53521,1,2,0,0
0,9/1/2019 2:25,1.032174,1.175336,-0.04077353,0.1610111,0,17.54849,1,2,0,0
0,9/1/2019 2:30,1.032215,1.175272,-0.04073266,0.160947,0,17.53209,1,2,0,0
0,9/1/2019 2:35,1.032135,1.175374,-0.04081237,0.1610492,0,17.55828,1,2,0,0
0,9/1/2019 2:40,1.032358,1.175341,-0.04058984,0.161016,0,17.54973,1,2,0,0
0,9/1/2019 2:45,1.032121,1.175234,-0.04082641,0.160909,0,17.5224,1,2,0,0
0,9/1/2019 2:50,1.032291,1.17537,-0.0406572,0.1610448,0,17.5571,1,2,0,0
0,9/1/2019 2:55,1.032126,1.175266,-0.04082198,0.1609416,0,17.53068,1,2,0,0
0,9/1/2019 3:00,1.032256,1.175255,-0.04069145,0.1609304,0,17.52779,1,2,0,0
0,9/1/2019 3:05,1.032199,1.175282,-0.04074921,0.1609567,0,17.5346,1,2,0,0
0,9/1/2019 3:10,1.032196,1.1753,-0.04075209,0.1609756,0,17.53944,1,2,0,0
0,9/1/2019 3:15,1.032251,1.175167,-0.04069632,0.1608418,0,17.50521,1,2,0,0
0,9/1/2019 3:20,1.032241,1.175317,-0.04070728,0.1609917,0,17.54358,1,2,0,0
0,9/1/2019 3:25,1.032222,1.175186,-0.04072561,0.1608606,0,17.50999,1,2,0,0
0,9/1/2019 3:30,1.032129,1.175334,-0.04081922,0.1610088,0,17.54795,1,2,0,0
0,9/1/2019 3:35,1.032278,1.175159,-0.04066959,0.1608342,0,17.50323,1,2,0,0
0,9/1/2019 3:40,1.032246,1.175139,-0.04070202,0.1608138,0,17.49801,1,2,0,0
0,9/1/2019 3:45,1.032278,1.175258,-0.04067026,0.1609334,0,17.5286,1,2,0,0
0,9/1/2019 3:50,1.032173,1.17517,-0.04077456,0.1608451,0,17.50602,1,2,0,0
0,9/1/2019 3:55,1.032291,1.175411,-0.04065709,0.1610861,0,17.56771,1,2,0,0
0,9/1/2019 4:00,1.03235,1.17527,-0.04059742,0.1609448,0,17.53157,1,2,0,0
0,9/1/2019 4:05,1.032084,1.175235,-0.04086335,0.16091,0,17.52264,1,2,0,0
0,9/1/2019 4:10,1.032109,1.175301,-0.04083855,0.1609765,0,17.53964,1,2,0,0
0,9/1/2019 4:15,1.032224,1.175241,-0.04072376,0.1609161,0,17.52418,1,2,0,0
0,9/1/2019 4:20,1.032258,1.175306,-0.04069022,0.1609814,0,17.54089,1,2,0,0
0,9/1/2019 4:25,1.032135,1.175147,-0.04081243,0.160822,0,17.50015,1,2,0,0
0,9/1/2019 4:30,1.032058,1.175212,-0.04088972,0.1608873,0,17.51683,1,2,0,0
0,9/1/2019 4:35,1.032141,1.175162,-0.04080703,0.1608368,0,17.50389,1,2,0,0
0,9/1/2019 4:40,1.032151,1.175154,-0.04079734,0.1608287,0,17.50184,1,2,0,0
0,9/1/2019 4:45,1.032191,1.175214,-0.04075667,0.1608888,0,17.51717,1,2,0,0
0,9/1/2019 4:50,1.032158,1.175133,-0.04078949,0.1608085,0,17.49664,1,2,0,0
0,9/1/2019 4:55,1.032133,1.175255,-0.04081497,0.1609305,0,17.52785,1,2,0,0
0,9/1/2019 5:00,1.032118,1.175192,-0.0408297,0.1608666,0,17.51154,1,2,0,0
0,9/1/2019 5:05,1.032114,1.175217,-0.04083373,0.1608926,0,17.51816,1,2,0,0
0,9/1/2019 5:10,1.032319,1.175246,-0.04062843,0.1609207,0,17.52533,1,2,0,0
0,9/1/2019 5:15,1.032221,1.17526,-0.0407269,0.1609352,0,17.5291,1,2,0,0
0,9/1/2019 5:20,1.032251,1.175324,-0.04069674,0.1609991,0,17.54538,1,2,0,0
0,9/1/2019 5:25,1.032216,1.175417,-0.04073171,0.1610921,0,17.56927,1,2,0,0
0,9/1/2019 5:30,1.032098,1.175238,-0.04084992,0.1609134,0,17.52353,1,2,0,0
0,9/1/2019 5:35,1.032131,1.175166,-0.04081655,0.1608415,0,17.5051,1,2,0,0
0,9/1/2019 5:40,1.032179,1.175334,-0.04076844,0.1610096,0,17.54814,1,2,0,0
0,9/1/2019 5:45,1.032092,1.175186,-0.04085597,0.1608608,0,17.51005,1,2,0,0
0,9/1/2019 5:50,1.03209,1.175226,-0.04085775,0.1609008,0,17.52026,1,2,0,0
0,9/1/2019 5:55,1.032148,1.175333,-0.04080024,0.1610085,0,17.54785,1,2,0,0
0,9/1/2019 6:00,1.03218,1.175319,-0.04076786,0.1609938,0,17.54405,1,2,0,0
0,9/1/2019 6:05,1.032063,1.175307,-0.04088474,0.1609821,0,17.54107,1,2,0,0
0,9/1/2019 6:10,1.0322,1.175272,-0.04074818,0.1609471,0,17.53216,1,2,0,0
0,9/1/2019 6:15,1.032103,1.175286,-0.04084504,0.1609612,0,17.53571,1,2,0,0
0,9/1/2019 6:20,1.032192,1.175245,-0.04075586,0.1609198,0,17.52511,1,2,0,0
0,9/1/2019 6:25,1.032223,1.175251,-0.04072505,0.1609263,0,17.52676,1,2,0,0
0,9/1/2019 6:30,1.03204,1.175322,-0.04090831,0.1609971,0,17.54489,1,2,0,0
0,9/1/2019 6:35,1.032148,1.175327,-0.04080018,0.1610018,0,17.54615,1,2,0,0
0,9/1/2019 6:40,1.032065,1.17534,-0.04088271,0.1610148,0,17.54942,1,2,0,0
0,9/1/2019 6:45,1.032282,1.175318,-0.04066588,0.1609928,0,17.54383,1,2,0,0
0,9/1/2019 6:50,1.032111,1.175383,-0.04083689,0.1610585,0,17.56063,1,2,0,0
0,9/1/2019 6:55,1.032127,1.175241,-0.04082049,0.1609159,0,17.52411,1,2,0,0
0,9/1/2019 7:00,1.032037,1.175249,-0.04091053,0.1609239,0,17.5262,1,2,0,0
0,9/1/2019 7:05,1.032139,1.175302,-0.04080902,0.1609768,0,17.53972,1,2,0,0
0,9/1/2019 7:10,1.032092,1.175175,-0.04085533,0.16085,0,17.50723,1,2,0,0
0,9/1/2019 7:15,1.031955,1.175138,-0.04099234,0.1608129,0,17.49778,1,2,0,0
0,9/1/2019 7:20,1.032171,1.175137,-0.04077635,0.1608124,0,17.49766,1,2,0,0
0,9/1/2019 7:25,1.032107,1.175217,-0.04084136,0.1608922,0,17.51808,1,2,0,0
0,9/1/2019 7:30,1.031925,1.175101,-0.04102273,0.1607763,0,17.48843,1,2,0,0
0,9/1/2019 7:35,1.031981,1.175171,-0.04096698,0.1608459,0,17.50625,1,2,0,0
0,9/1/2019 7:40,1.032012,1.175165,-0.04093637,0.1608405,0,17.50484,1,2,0,0
0,9/1/2019 7:45,1.031923,1.175103,-0.04102499,0.1607785,0,17.48896,1,2,0,0
0,9/1/2019 7:50,1.032099,1.175095,-0.04084914,0.1607704,0,17.48691,1,2,0,0
0,9/1/2019 7:55,1.032096,1.175107,-0.04085213,0.1607821,0,17.4899,1,2,0,0
0,9/1/2019 8:00,1.032001,1.175077,-0.0409471,0.160752,0,17.48217,1,2,0,0
0,9/1/2019 8:05,1.032038,1.175185,-0.04091025,0.1608604,0,17.50998,1,2,0,0
0,9/1/2019 8:10,1.032123,1.175123,-0.04082485,0.1607982,0,17.49401,1,2,0,0
0,9/1/2019 8:15,1.032133,1.175139,-0.04081506,0.160814,0,17.49806,1,2,0,0
0,9/1/2019 8:20,1.032093,1.175119,-0.04085524,0.1607945,0,17.49307,1,2,0,0
0,9/1/2019 8:25,1.032161,1.175093,-0.04078676,0.1607684,0,17.48643,1,2,0,0
0,9/1/2019 8:30,1.032038,1.175158,-0.04090939,0.1608333,0,17.50299,1,2,0,0
0,9/1/2019 8:35,1.032044,1.175103,-0.04090352,0.1607785,0,17.48902,1,2,0,0
0,9/1/2019 8:40,1.032049,1.175099,-0.04089922,0.160774,0,17.48786,1,2,0,0
0,9/1/2019 8:45,1.032125,1.175287,-0.04082321,0.1609617,0,17.53582,1,2,0,0
0,9/1/2019 8:50,1.03202,1.175143,-0.0409281,0.1608178,0,17.49903,1,2,0,0
0,9/1/2019 8:55,1.032209,1.175135,-0.04073901,0.1608102,0,17.4971,1,2,0,0
0,9/1/2019 9:00,1.031877,1.175046,-0.04107129,0.1607215,0,17.47444,1,2,0,0
0,9/1/2019 9:05,1.032139,1.175091,-0.04080907,0.1607657,0,17.48567,1,2,0,0
0,9/1/2019 9:10,1.032196,1.175121,-0.04075228,0.1607966,0,17.49364,1,2,0,0
0,9/1/2019 9:15,1.032169,1.175247,-0.04077855,0.1609222,0,17.52574,1,2,0,0
0,9/1/2019 9:20,1.032058,1.175052,-0.04089003,0.1607268,0,17.47574,1,2,0,0
0,9/1/2019 9:25,1.032128,1.175195,-0.04081977,0.1608698,0,17.51235,1,2,0,0
0,9/1/2019 9:30,1.032082,1.175005,-0.04086598,0.1606803,0,17.46392,1,2,0,0
0,9/1/2019 9:35,1.031994,1.175085,-0.0409543,0.1607606,0,17.48444,1,2,0,0
0,9/1/2019 9:40,1.031816,1.175013,-0.0411321,0.1606885,0,17.46599,1,2,0,0
