,TOA5 idea concrete cr 1000,IDEA_Concrete_cell,CR1000,91194,CR1000.Std.32.03,CPU:Concrete_20190329.CR1,430,Hydro,,,,,
Rain_in_Tot,TIMESTAMP,CnoC_Level_Avg,CC_Level_Avg,CnoC_Stage_Avg,CC_Stage_Avg,CnoC_Flow_Avg,CC_Flow_Avg,CnoC_Sample_Pulses_Max,CC_Sample_Pulses_Max,CnoC_GoodSample_Max,CC_GoodSample_Max,,
In,TS,Ft,Ft,Ft,Ft,GPM,GPM,Pulses,Pulses,Samples,Samples,,
Tot,,Avg,Avg,Avg,Avg,Avg,Avg,Max,Max,Max,Max,,
0,9/1/2019 0:00,0.7708926,1.07721,-0.06738803,-0.02018468,0,0,17,1348,0,1,,
0,9/1/2019 0:05,0.770869,1.077457,-0.06741168,-0.01993769,0,0,17,1348,0,1,,
0,9/1/2019 0:10,0.7708827,1.077343,-0.06739794,-0.02005213,0,0,17,1348,0,1,,
0,9/1/2019 0:15,0.7709759,1.077322,-0.06730472,-0.02007269,0,0,17,1348,0,1,,
0,9/1/2019 0:20,0.7709334,1.07742,-0.0673472,-0.01997493,0,0,17,1348,0,1,,
0,9/1/2019 0:25,0.7709765,1.077432,-0.06730413,-0.019963,0,0,17,1348,0,1,,
0,9/1/2019 0:30,0.7708202,1.077164,-0.06746044,-0.02023056,0,0,17,1348,0,1,,
0,9/1/2019 0:35,0.7708961,1.077298,-0.06738455,-0.02009679,0,0,17,1348,0,1,,
0,9/1/2019 0:40,0.7708466,1.07751,-0.06743401,-0.01988472,0,0,17,1348,0,1,,
0,9/1/2019 0:45,0.7709665,1.077429,-0.06731419,-0.01996624,0,0,17,1348,0,1,,
0,9/1/2019 0:50,0.7709463,1.077431,-0.0673344,-0.01996334,0,0,17,1348,0,1,,
0,9/1/2019 0:55,0.7708978,1.077378,-0.06738286,-0.02001644,0,0,17,1348,0,1,,
0,9/1/2019 1:00,0.77083,1.077398,-0.06745064,-0.01999652,0,0,17,1348,0,1,,
0,9/1/2019 1:05,0.7708753,1.077307,-0.06740536,-0.02008729,0,0,17,1348,0,1,,
0,9/1/2019 1:10,0.7708569,1.077299,-0.06742381,-0.02009609,0,0,17,1348,0,1,,
0,9/1/2019 1:15,0.7709799,1.077496,-0.06730074,-0.01989901,0,0,17,1348,0,1,,
0,9/1/2019 1:20,0.7708482,1.077441,-0.06743244,-0.01995396,0,0,17,1348,0,1,,
0,9/1/2019 1:25,0.7709638,1.077546,-0.06731676,-0.01984888,0,0,17,1348,0,1,,
0,9/1/2019 1:30,0.7709482,1.077369,-0.06733251,-0.02002594,0,0,17,1348,0,1,,
0,9/1/2019 1:35,0.7708117,1.077461,-0.06746892,-0.01993366,0,0,17,1348,0,1,,
0,9/1/2019 1:40,0.7708889,1.07739,-0.06739174,-0.0200049,0,0,17,1348,0,1,,
0,9/1/2019 1:45,0.7709714,1.077478,-0.06730922,-0.01991705,0,0,17,1348,0,1,,
0,9/1/2019 1:50,0.7708079,1.077397,-0.06747273,-0.01999732,0,0,17,1348,0,1,,
0,9/1/2019 1:55,0.7708802,1.077337,-0.06740044,-0.020058,0,0,17,1348,0,1,,
0,9/1/2019 2:00,0.7709877,1.077452,-0.06729289,-0.0199432,0,0,17,1348,0,1,,
0,9/1/2019 2:05,0.7709926,1.077409,-0.06728796,-0.01998539,0,0,17,1348,0,1,,
0,9/1/2019 2:10,0.7710543,1.07735,-0.06722634,-0.0200443,0,0,17,1348,0,1,,
0,9/1/2019 2:15,0.7709792,1.077446,-0.06730147,-0.0199484,0,0,17,1348,0,1,,
0,9/1/2019 2:20,0.7709374,1.077462,-0.06734321,-0.01993265,0,0,17,1348,0,1,,
0,9/1/2019 2:25,0.771118,1.07731,-0.06716267,-0.02008462,0,0,17,1348,0,1,,
0,9/1/2019 2:30,0.7708904,1.077417,-0.06739021,-0.01997743,0,0,17,1348,0,1,,
0,9/1/2019 2:35,0.7710326,1.077429,-0.06724806,-0.01996529,0,0,17,1348,0,1,,
0,9/1/2019 2:40,0.7708514,1.077464,-0.06742922,-0.01993113,0,0,17,1348,0,1,,
0,9/1/2019 2:45,0.770946,1.077385,-0.06733468,-0.0200102,0,0,17,1348,0,1,,
0,9/1/2019 2:50,0.7709936,1.077319,-0.06728701,-0.02007617,0,0,17,1348,0,1,,
0,9/1/2019 2:55,0.7708189,1.077406,-0.06746172,-0.01998879,0,0,17,1348,0,1,,
